cell_id,sample,subject,condition,batch,cell_type
D02_stim_cell004,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell005,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell006,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell007,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell008,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell009,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell010,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell011,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell012,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell013,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell014,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell015,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell016,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell017,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell018,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell019,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell020,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell021,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell022,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell023,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell024,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell025,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell026,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell027,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell028,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell029,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell030,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell031,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell032,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell033,D02_stim,D02,stimulated,B2,Monocyte
D02_stim_cell034,D02_stim,D02,stimulated,B2,CD4 T
D02_stim_cell035,D02_stim,D02,stimulated,B2,CD8 T
D02_stim_cell036,D02_stim,D02,stimulated,B2,Monocyte
D03_cont_cell001,D03_cont,D03,control,B1,CD4 T
D03_cont_cell002,D03_cont,D03,control,B1,CD8 T
D03_cont_cell003,D03_cont,D03,control,B1,Monocyte
D03_cont_cell004,D03_cont,D03,control,B1,CD4 T
D03_cont_cell005,D03_cont,D03,control,B1,CD8 T
D03_cont_cell006,D03_cont,D03,control,B1,Monocyte
D03_cont_cell007,D03_cont,D03,control,B1,CD4 T
D03_cont_cell008,D03_cont,D03,control,B1,CD8 T
D03_cont_cell009,D03_cont,D03,control,B1,Monocyte
D03_cont_cell010,D03_cont,D03,control,B1,CD4 T
D03_cont_cell011,D03_cont,D03,control,B1,CD8 T
D03_cont_cell012,D03_cont,D03,control,B1,Monocyte
D03_cont_cell013,D03_cont,D03,control,B1,CD4 T
D03_cont_cell014,D03_cont,D03,control,B1,CD8 T
D03_cont_cell015,D03_cont,D03,control,B1,Monocyte
D03_cont_cell016,D03_cont,D03,control,B1,CD4 T
D03_cont_cell017,D03_cont,D03,control,B1,CD8 T
D03_cont_cell018,D03_cont,D03,control,B1,Monocyte
D03_cont_cell019,D03_cont,D03,control,B1,CD4 T
D03_cont_cell020,D03_cont,D03,control,B1,CD8 T
D03_cont_cell021,D03_cont,D03,control,B1,Monocyte
D03_cont_cell022,D03_cont,D03,control,B1,CD4 T
D03_cont_cell023,D03_cont,D03,control,B1,CD8 T
D03_cont_cell024,D03_cont,D03,control,B1,Monocyte
D03_cont_cell025,D03_cont,D03,control,B1,CD4 T
D03_cont_cell026,D03_cont,D03,control,B1,CD8 T
D03_cont_cell027,D03_cont,D03,control,B1,Monocyte
D03_cont_cell028,D03_cont,D03,control,B1,CD4 T
D03_cont_cell029,D03_cont,D03,control,B1,CD8 T
D03_cont_cell030,D03_cont,D03,control,B1,Monocyte
D03_cont_cell031,D03_cont,D03,control,B1,CD4 T
D03_cont_cell032,D03_cont,D03,control,B1,CD8 T
D03_cont_cell033,D03_cont,D03,control,B1,Monocyte
D03_cont_cell034,D03_cont,D03,control,B1,CD4 T
D03_cont_cell035,D03_cont,D03,control,B1,CD8 T
D03_cont_cell036,D03_cont,D03,control,B1,Monocyte
D03_stim_cell001,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell002,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell003,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell004,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell005,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell006,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell007,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell008,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell009,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell010,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell011,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell012,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell013,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell014,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell015,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell016,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell017,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell018,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell019,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell020,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell021,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell022,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell023,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell024,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell025,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell026,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell027,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell028,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell029,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell030,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell031,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell032,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell033,D03_stim,D03,stimulated,B1,Monocyte
D03_stim_cell034,D03_stim,D03,stimulated,B1,CD4 T
D03_stim_cell035,D03_stim,D03,stimulated,B1,CD8 T
D03_stim_cell036,D03_stim,D03,stimulated,B1,Monocyte
D04_cont_cell001,D04_cont,D04,control,B2,CD4 T
D04_cont_cell002,D04_cont,D04,control,B2,CD8 T
D04_cont_cell003,D04_cont,D04,control,B2,Monocyte
D04_cont_cell004,D04_cont,D04,control,B2,CD4 T
D04_cont_cell005,D04_cont,D04,control,B2,CD8 T
D04_cont_cell006,D04_cont,D04,control,B2,Monocyte
D04_cont_cell007,D04_cont,D04,control,B2,CD4 T
D04_cont_cell008,D04_cont,D04,control,B2,CD8 T
D04_cont_cell009,D04_cont,D04,control,B2,Monocyte
D04_cont_cell010,D04_cont,D04,control,B2,CD4 T
D04_cont_cell011,D04_cont,D04,control,B2,CD8 T
D04_cont_cell012,D04_cont,D04,control,B2,Monocyte
D04_cont_cell013,D04_cont,D04,control,B2,CD4 T
D04_cont_cell014,D04_cont,D04,control,B2,CD8 T
D04_cont_cell015,D04_cont,D04,control,B2,Monocyte
D04_cont_cell016,D04_cont,D04,control,B2,CD4 T
D04_cont_cell017,D04_cont,D04,control,B2,CD8 T
D04_cont_cell018,D04_cont,D04,control,B2,Monocyte
D04_cont_cell019,D04_cont,D04,control,B2,CD4 T
D04_cont_cell020,D04_cont,D04,control,B2,CD8 T
D04_cont_cell021,D04_cont,D04,control,B2,Monocyte
D04_cont_cell022,D04_cont,D04,control,B2,CD4 T
D04_cont_cell023,D04_cont,D04,control,B2,CD8 T
D04_cont_cell024,D04_cont,D04,control,B2,Monocyte
D04_cont_cell025,D04_cont,D04,control,B2,CD4 T
D04_cont_cell026,D04_cont,D04,control,B2,CD8 T
D04_cont_cell027,D04_cont,D04,control,B2,Monocyte
D04_cont_cell028,D04_cont,D04,control,B2,CD4 T
D04_cont_cell029,D04_cont,D04,control,B2,CD8 T
D04_cont_cell030,D04_cont,D04,control,B2,Monocyte
D04_cont_cell031,D04_cont,D04,control,B2,CD4 T
D04_cont_cell032,D04_cont,D04,control,B2,CD8 T
D04_cont_cell033,D04_cont,D04,control,B2,Monocyte
D04_cont_cell034,D04_cont,D04,control,B2,CD4 T
D04_cont_cell035,D04_cont,D04,control,B2,CD8 T
D04_cont_cell036,D04_cont,D04,control,B2,Monocyte
D04_stim_cell001,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell002,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell003,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell004,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell005,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell006,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell007,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell008,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell009,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell010,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell011,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell012,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell013,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell014,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell015,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell016,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell017,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell018,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell019,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell020,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell021,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell022,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell023,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell024,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell025,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell026,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell027,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell028,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell029,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell030,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell031,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell032,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell033,D04_stim,D04,stimulated,B2,Monocyte
D04_stim_cell034,D04_stim,D04,stimulated,B2,CD4 T
D04_stim_cell035,D04_stim,D04,stimulated,B2,CD8 T
D04_stim_cell036,D04_stim,D04,stimulated,B2,Monocyte
D05_cont_cell001,D05_cont,D05,control,B1,CD4 T
D05_cont_cell002,D05_cont,D05,control,B1,CD8 T
D05_cont_cell003,D05_cont,D05,control,B1,Monocyte
D05_cont_cell004,D05_cont,D05,control,B1,CD4 T
D05_cont_cell005,D05_cont,D05,control,B1,CD8 T
D05_cont_cell006,D05_cont,D05,control,B1,Monocyte
D05_cont_cell007,D05_cont,D05,control,B1,CD4 T
D05_cont_cell008,D05_cont,D05,control,B1,CD8 T
D05_cont_cell009,D05_cont,D05,control,B1,Monocyte
D05_cont_cell010,D05_cont,D05,control,B1,CD4 T
D05_cont_cell011,D05_cont,D05,control,B1,CD8 T
D05_cont_cell012,D05_cont,D05,control,B1,Monocyte
D05_cont_cell013,D05_cont,D05,control,B1,CD4 T
D05_cont_cell014,D05_cont,D05,control,B1,CD8 T
D05_cont_cell015,D05_cont,D05,control,B1,Monocyte
D05_cont_cell016,D05_cont,D05,control,B1,CD4 T
D05_cont_cell017,D05_cont,D05,control,B1,CD8 T
D05_cont_cell018,D05_cont,D05,control,B1,Monocyte
D05_cont_cell019,D05_cont,D05,control,B1,CD4 T
D05_cont_cell020,D05_cont,D05,control,B1,CD8 T
D05_cont_cell021,D05_cont,D05,control,B1,Monocyte
D05_cont_cell022,D05_cont,D05,control,B1,CD4 T
D05_cont_cell023,D05_cont,D05,control,B1,CD8 T
D05_cont_cell024,D05_cont,D05,control,B1,Monocyte
D05_cont_cell025,D05_cont,D05,control,B1,CD4 T
D05_cont_cell026,D05_cont,D05,control,B1,CD8 T
D05_cont_cell027,D05_cont,D05,control,B1,Monocyte
D05_cont_cell028,D05_cont,D05,control,B1,CD4 T
D05_cont_cell029,D05_cont,D05,control,B1,CD8 T
D05_cont_cell030,D05_cont,D05,control,B1,Monocyte
D05_cont_cell031,D05_cont,D05,control,B1,CD4 T
D05_cont_cell032,D05_cont,D05,control,B1,CD8 T
D05_cont_cell033,D05_cont,D05,control,B1,Monocyte
D05_cont_cell034,D05_cont,D05,control,B1,CD4 T
D05_cont_cell035,D05_cont,D05,control,B1,CD8 T
D05_cont_cell036,D05_cont,D05,control,B1,Monocyte
D05_stim_cell001,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell002,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell003,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell004,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell005,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell006,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell007,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell008,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell009,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell010,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell011,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell012,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell013,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell014,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell015,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell016,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell017,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell018,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell019,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell020,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell021,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell022,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell023,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell024,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell025,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell026,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell027,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell028,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell029,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell030,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell031,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell032,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell033,D05_stim,D05,stimulated,B1,Monocyte
D05_stim_cell034,D05_stim,D05,stimulated,B1,CD4 T
D05_stim_cell035,D05_stim,D05,stimulated,B1,CD8 T
D05_stim_cell036,D05_stim,D05,stimulated,B1,Monocyte
D06_cont_cell001,D06_cont,D06,control,B2,CD4 T
D06_cont_cell002,D06_cont,D06,control,B2,CD8 T
D06_cont_cell003,D06_cont,D06,control,B2,Monocyte
D06_cont_cell004,D06_cont,D06,control,B2,CD4 T
D06_cont_cell005,D06_cont,D06,control,B2,CD8 T
D06_cont_cell006,D06_cont,D06,control,B2,Monocyte
D06_cont_cell007,D06_cont,D06,control,B2,CD4 T
D06_cont_cell008,D06_cont,D06,control,B2,CD8 T
D06_cont_cell009,D06_cont,D06,control,B2,Monocyte
D06_cont_cell010,D06_cont,D06,control,B2,CD4 T
D06_cont_cell011,D06_cont,D06,control,B2,CD8 T
D06_cont_cell012,D06_cont,D06,control,B2,Monocyte
D06_cont_cell013,D06_cont,D06,control,B2,CD4 T
D06_cont_cell014,D06_cont,D06,control,B2,CD8 T
D06_cont_cell015,D06_cont,D06,control,B2,Monocyte
D06_cont_cell016,D06_cont,D06,control,B2,CD4 T
D06_cont_cell017,D06_cont,D06,control,B2,CD8 T
D06_cont_cell018,D06_cont,D06,control,B2,Monocyte
D06_cont_cell019,D06_cont,D06,control,B2,CD4 T
D06_cont_cell020,D06_cont,D06,control,B2,CD8 T
D06_cont_cell021,D06_cont,D06,control,B2,Monocyte
D06_cont_cell022,D06_cont,D06,control,B2,CD4 T
D06_cont_cell023,D06_cont,D06,control,B2,CD8 T
D06_cont_cell024,D06_cont,D06,control,B2,Monocyte
D06_cont_cell025,D06_cont,D06,control,B2,CD4 T
D06_cont_cell026,D06_cont,D06,control,B2,CD8 T
D06_cont_cell027,D06_cont,D06,control,B2,Monocyte
D06_cont_cell028,D06_cont,D06,control,B2,CD4 T
D06_cont_cell029,D06_cont,D06,control,B2,CD8 T
D06_cont_cell030,D06_cont,D06,control,B2,Monocyte
D06_cont_cell031,D06_cont,D06,control,B2,CD4 T
D06_cont_cell032,D06_cont,D06,control,B2,CD8 T
D06_cont_cell033,D06_cont,D06,control,B2,Monocyte
D06_cont_cell034,D06_cont,D06,control,B2,CD4 T
D06_cont_cell035,D06_cont,D06,control,B2,CD8 T
D06_cont_cell036,D06_cont,D06,control,B2,Monocyte
D06_stim_cell001,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell002,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell003,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell004,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell005,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell006,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell007,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell008,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell009,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell010,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell011,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell012,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell013,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell014,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell015,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell016,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell017,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell018,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell019,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell020,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell021,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell022,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell023,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell024,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell025,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell026,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell027,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell028,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell029,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell030,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell031,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell032,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell033,D06_stim,D06,stimulated,B2,Monocyte
D06_stim_cell034,D06_stim,D06,stimulated,B2,CD4 T
D06_stim_cell035,D06_stim,D06,stimulated,B2,CD8 T
D06_stim_cell036,D06_stim,D06,stimulated,B2,Monocyte
D07_cont_cell001,D07_cont,D07,control,B1,CD4 T
D07_cont_cell002,D07_cont,D07,control,B1,CD8 T
D07_cont_cell003,D07_cont,D07,control,B1,Monocyte
D07_cont_cell004,D07_cont,D07,control,B1,CD4 T
D07_cont_cell005,D07_cont,D07,control,B1,CD8 T
D07_cont_cell006,D07_cont,D07,control,B1,Monocyte
D07_cont_cell007,D07_cont,D07,control,B1,CD4 T
D07_cont_cell008,D07_cont,D07,control,B1,CD8 T
D07_cont_cell009,D07_cont,D07,control,B1,Monocyte
D07_cont_cell010,D07_cont,D07,control,B1,CD4 T
D07_cont_cell011,D07_cont,D07,control,B1,CD8 T
