barcode	truth
DEMOEMPTY0251-1	empty
DEMOEMPTY0252-1	empty
DEMOEMPTY0253-1	empty
DEMOEMPTY0254-1	empty
DEMOEMPTY0255-1	empty
DEMOEMPTY0256-1	empty
DEMOEMPTY0257-1	empty
DEMOEMPTY0258-1	empty
DEMOEMPTY0259-1	empty
DEMOEMPTY0260-1	empty
DEMOEMPTY0261-1	empty
DEMOEMPTY0262-1	empty
DEMOEMPTY0263-1	empty
DEMOEMPTY0264-1	empty
DEMOEMPTY0265-1	empty
DEMOEMPTY0266-1	empty
DEMOEMPTY0267-1	empty
DEMOEMPTY0268-1	empty
DEMOEMPTY0269-1	empty
DEMOEMPTY0270-1	empty
DEMOEMPTY0271-1	empty
DEMOEMPTY0272-1	empty
DEMOEMPTY0273-1	empty
DEMOEMPTY0274-1	empty
DEMOEMPTY0275-1	empty
DEMOEMPTY0276-1	empty
DEMOEMPTY0277-1	empty
DEMOEMPTY0278-1	empty
DEMOEMPTY0279-1	empty
DEMOEMPTY0280-1	empty
DEMOEMPTY0281-1	empty
DEMOEMPTY0282-1	empty
DEMOEMPTY0283-1	empty
DEMOEMPTY0284-1	empty
DEMOEMPTY0285-1	empty
DEMOEMPTY0286-1	empty
DEMOEMPTY0287-1	empty
DEMOEMPTY0288-1	empty
DEMOEMPTY0289-1	empty
DEMOEMPTY0290-1	empty
DEMOEMPTY0291-1	empty
DEMOEMPTY0292-1	empty
DEMOEMPTY0293-1	empty
DEMOEMPTY0294-1	empty
DEMOEMPTY0295-1	empty
DEMOEMPTY0296-1	empty
DEMOEMPTY0297-1	empty
DEMOEMPTY0298-1	empty
DEMOEMPTY0299-1	empty
DEMOEMPTY0300-1	empty
DEMOCELLA0001-1	singlet
DEMOCELLA0002-1	singlet
DEMOCELLA0003-1	singlet
DEMOCELLA0004-1	singlet
DEMOCELLA0005-1	singlet
DEMOCELLA0006-1	singlet
DEMOCELLA0007-1	singlet
DEMOCELLA0008-1	singlet
DEMOCELLA0009-1	singlet
DEMOCELLA0010-1	singlet
DEMOCELLA0011-1	singlet
DEMOCELLA0012-1	singlet
DEMOCELLA0013-1	singlet
DEMOCELLA0014-1	singlet
DEMOCELLA0015-1	singlet
DEMOCELLA0016-1	singlet
DEMOCELLA0017-1	singlet
DEMOCELLA0018-1	singlet
DEMOCELLA0019-1	singlet
DEMOCELLA0020-1	singlet
DEMOCELLA0021-1	singlet
DEMOCELLA0022-1	singlet
DEMOCELLA0023-1	singlet
DEMOCELLA0024-1	singlet
DEMOCELLA0025-1	singlet
DEMOCELLA0026-1	singlet
DEMOCELLA0027-1	singlet
DEMOCELLA0028-1	singlet
DEMOCELLA0029-1	singlet
DEMOCELLA0030-1	singlet
DEMOCELLA0031-1	singlet
DEMOCELLA0032-1	singlet
DEMOCELLA0033-1	singlet
DEMOCELLA0034-1	singlet
DEMOCELLA0035-1	singlet
DEMOCELLA0036-1	singlet
DEMOCELLA0037-1	singlet
DEMOCELLA0038-1	singlet
DEMOCELLA0039-1	singlet
DEMOCELLA0040-1	singlet
DEMOCELLA0041-1	singlet
DEMOCELLA0042-1	singlet
DEMOCELLA0043-1	singlet
DEMOCELLA0044-1	singlet
DEMOCELLA0045-1	singlet
DEMOCELLA0046-1	singlet
DEMOCELLA0047-1	singlet
DEMOCELLA0048-1	singlet
DEMOCELLA0049-1	singlet
DEMOCELLA0050-1	singlet
DEMOCELLA0051-1	singlet
DEMOCELLA0052-1	singlet
DEMOCELLA0053-1	singlet
DEMOCELLA0054-1	singlet
DEMOCELLA0055-1	singlet
DEMOCELLA0056-1	singlet
DEMOCELLA0057-1	singlet
DEMOCELLA0058-1	singlet
DEMOCELLA0059-1	singlet
DEMOCELLA0060-1	singlet
DEMOCELLA0061-1	singlet
DEMOCELLA0062-1	singlet
DEMOCELLA0063-1	singlet
DEMOCELLA0064-1	singlet
DEMOCELLA0065-1	singlet
DEMOCELLA0066-1	singlet
DEMOCELLA0067-1	singlet
DEMOCELLA0068-1	singlet
DEMOCELLA0069-1	singlet
DEMOCELLA0070-1	singlet
DEMOCELLA0071-1	singlet
DEMOCELLA0072-1	singlet
DEMOCELLA0073-1	singlet
DEMOCELLA0074-1	singlet
DEMOCELLA0075-1	singlet
DEMOCELLA0076-1	singlet
DEMOCELLA0077-1	singlet
DEMOCELLA0078-1	singlet
DEMOCELLA0079-1	singlet
DEMOCELLA0080-1	singlet
DEMOCELLB0001-1	singlet
DEMOCELLB0002-1	singlet
DEMOCELLB0003-1	singlet
DEMOCELLB0004-1	singlet
DEMOCELLB0005-1	singlet
DEMOCELLB0006-1	singlet
DEMOCELLB0007-1	singlet
DEMOCELLB0008-1	singlet
DEMOCELLB0009-1	singlet
DEMOCELLB0010-1	singlet
DEMOCELLB0011-1	singlet
DEMOCELLB0012-1	singlet
DEMOCELLB0013-1	singlet
DEMOCELLB0014-1	singlet
DEMOCELLB0015-1	singlet
DEMOCELLB0016-1	singlet
DEMOCELLB0017-1	singlet
DEMOCELLB0018-1	singlet
DEMOCELLB0019-1	singlet
DEMOCELLB0020-1	singlet
DEMOCELLB0021-1	singlet
DEMOCELLB0022-1	singlet
DEMOCELLB0023-1	singlet
DEMOCELLB0024-1	singlet
DEMOCELLB0025-1	singlet
DEMOCELLB0026-1	singlet
DEMOCELLB0027-1	singlet
DEMOCELLB0028-1	singlet
DEMOCELLB0029-1	singlet
DEMOCELLB0030-1	singlet
DEMOCELLB0031-1	singlet
DEMOCELLB0032-1	singlet
DEMOCELLB0033-1	singlet
DEMOCELLB0034-1	singlet
DEMOCELLB0035-1	singlet
DEMOCELLB0036-1	singlet
DEMOCELLB0037-1	singlet
DEMOCELLB0038-1	singlet
DEMOCELLB0039-1	singlet
DEMOCELLB0040-1	singlet
DEMOCELLB0041-1	singlet
DEMOCELLB0042-1	singlet
DEMOCELLB0043-1	singlet
DEMOCELLB0044-1	singlet
DEMOCELLB0045-1	singlet
DEMOCELLB0046-1	singlet
DEMOCELLB0047-1	singlet
DEMOCELLB0048-1	singlet
DEMOCELLB0049-1	singlet
DEMOCELLB0050-1	singlet
DEMOCELLB0051-1	singlet
DEMOCELLB0052-1	singlet
DEMOCELLB0053-1	singlet
DEMOCELLB0054-1	singlet
DEMOCELLB0055-1	singlet
DEMOCELLB0056-1	singlet
DEMOCELLB0057-1	singlet
DEMOCELLB0058-1	singlet
DEMOCELLB0059-1	singlet
DEMOCELLB0060-1	singlet
DEMOCELLB0061-1	singlet
DEMOCELLB0062-1	singlet
DEMOCELLB0063-1	singlet
DEMOCELLB0064-1	singlet
DEMOCELLB0065-1	singlet
DEMOCELLB0066-1	singlet
DEMOCELLB0067-1	singlet
DEMOCELLB0068-1	singlet
DEMOCELLB0069-1	singlet
DEMOCELLB0070-1	singlet
DEMOCELLB0071-1	singlet
DEMOCELLB0072-1	singlet
DEMOCELLB0073-1	singlet
DEMOCELLB0074-1	singlet
DEMOCELLB0075-1	singlet
DEMOCELLB0076-1	singlet
DEMOCELLB0077-1	singlet
DEMOCELLB0078-1	singlet
DEMOCELLB0079-1	singlet
DEMOCELLB0080-1	singlet
DEMOdoublet0001-1	doublet
DEMOdoublet0002-1	doublet
DEMOdoublet0003-1	doublet
DEMOdoublet0004-1	doublet
DEMOdoublet0005-1	doublet
DEMOdoublet0006-1	doublet
DEMOdoublet0007-1	doublet
DEMOdoublet0008-1	doublet
DEMOdoublet0009-1	doublet
DEMOdoublet0010-1	doublet
DEMOdoublet0011-1	doublet
DEMOdoublet0012-1	doublet
DEMOdoublet0013-1	doublet
DEMOdoublet0014-1	doublet
DEMOdoublet0015-1	doublet
DEMOdoublet0016-1	doublet
DEMOdoublet0017-1	doublet
DEMOdoublet0018-1	doublet
DEMOdoublet0019-1	doublet
DEMOdoublet0020-1	doublet
DEMOdoublet0021-1	doublet
DEMOdoublet0022-1	doublet
DEMOdoublet0023-1	doublet
DEMOdoublet0024-1	doublet
DEMOdoublet0025-1	doublet
DEMOdoublet0026-1	doublet
DEMOdoublet0027-1	doublet
DEMOdoublet0028-1	doublet
DEMOdoublet0029-1	doublet
DEMOdoublet0030-1	doublet
DEMOdoublet0031-1	doublet
DEMOdoublet0032-1	doublet
DEMOdoublet0033-1	doublet
DEMOdoublet0034-1	doublet
DEMOdoublet0035-1	doublet
DEMOdoublet0036-1	doublet
DEMOdoublet0037-1	doublet
DEMOdoublet0038-1	doublet
DEMOdoublet0039-1	doublet
DEMOdoublet0040-1	doublet
