ENSGDEMO00056	TYPEB6	Gene Expression
ENSGDEMO00057	TYPEB7	Gene Expression
ENSGDEMO00058	TYPEB8	Gene Expression
ENSGDEMO00059	TYPEB9	Gene Expression
ENSGDEMO00060	TYPEB10	Gene Expression
ENSGDEMO00061	TYPEB11	Gene Expression
ENSGDEMO00062	TYPEB12	Gene Expression
ENSGDEMO00063	TYPEB13	Gene Expression
ENSGDEMO00064	TYPEB14	Gene Expression
ENSGDEMO00065	TYPEB15	Gene Expression
ENSGDEMO00066	TYPEB16	Gene Expression
ENSGDEMO00067	TYPEB17	Gene Expression
ENSGDEMO00068	TYPEB18	Gene Expression
ENSGDEMO00069	TYPEB19	Gene Expression
ENSGDEMO00070	TYPEB20	Gene Expression
ENSGDEMO00071	TYPEB21	Gene Expression
ENSGDEMO00072	TYPEB22	Gene Expression
ENSGDEMO00073	TYPEB23	Gene Expression
ENSGDEMO00074	TYPEB24	Gene Expression
ENSGDEMO00075	TYPEB25	Gene Expression
ENSGDEMO00076	TYPEB26	Gene Expression
ENSGDEMO00077	TYPEB27	Gene Expression
ENSGDEMO00078	TYPEB28	Gene Expression
ENSGDEMO00079	TYPEB29	Gene Expression
ENSGDEMO00080	TYPEB30	Gene Expression
ENSGDEMO00081	GENE81	Gene Expression
ENSGDEMO00082	GENE82	Gene Expression
ENSGDEMO00083	GENE83	Gene Expression
ENSGDEMO00084	GENE84	Gene Expression
ENSGDEMO00085	GENE85	Gene Expression
ENSGDEMO00086	GENE86	Gene Expression
ENSGDEMO00087	GENE87	Gene Expression
ENSGDEMO00088	GENE88	Gene Expression
ENSGDEMO00089	GENE89	Gene Expression
ENSGDEMO00090	GENE90	Gene Expression
ENSGDEMO00091	GENE91	Gene Expression
ENSGDEMO00092	GENE92	Gene Expression
ENSGDEMO00093	GENE93	Gene Expression
ENSGDEMO00094	GENE94	Gene Expression
ENSGDEMO00095	GENE95	Gene Expression
ENSGDEMO00096	GENE96	Gene Expression
ENSGDEMO00097	GENE97	Gene Expression
ENSGDEMO00098	GENE98	Gene Expression
ENSGDEMO00099	GENE99	Gene Expression
ENSGDEMO00100	GENE100	Gene Expression
ENSGDEMO00101	GENE101	Gene Expression
ENSGDEMO00102	GENE102	Gene Expression
ENSGDEMO00103	GENE103	Gene Expression
ENSGDEMO00104	GENE104	Gene Expression
ENSGDEMO00105	GENE105	Gene Expression
ENSGDEMO00106	GENE106	Gene Expression
ENSGDEMO00107	GENE107	Gene Expression
ENSGDEMO00108	GENE108	Gene Expression
ENSGDEMO00109	GENE109	Gene Expression
ENSGDEMO00110	GENE110	Gene Expression
ENSGDEMO00111	GENE111	Gene Expression
ENSGDEMO00112	GENE112	Gene Expression
ENSGDEMO00113	GENE113	Gene Expression
ENSGDEMO00114	GENE114	Gene Expression
ENSGDEMO00115	GENE115	Gene Expression
ENSGDEMO00116	GENE116	Gene Expression
ENSGDEMO00117	GENE117	Gene Expression
ENSGDEMO00118	GENE118	Gene Expression
ENSGDEMO00119	GENE119	Gene Expression
ENSGDEMO00120	GENE120	Gene Expression
